username,date,tweet,hashtags,link
grumnutt,3/30/2022 22:11,Hilarious that he calls people who spread 'vaccine misinformation' criminals. This is the same guy who's also now on record stating the vaccine doesn't work against #Omicron &amp; who heads the company that's had biggest criminal fine in pharma history. 🤣😐 #pfizer #Pfizerdocuments,"['omicron', 'pfizer', 'pfizerdocuments']",https://twitter.com/grumnutt/status/1509262063251726341
FiserStanko,3/30/2022 22:11,"Še dobro, da je cepivo zastonj, sicer bi tip kupil hišo za 333 milijonov..  Florian Strangman Is The New Owner Of The $33 Million Mossman Five-Bedroom Home. His Father Has Raised $10.7 Billion Through Sales Of The Pfizer COVID Vaccine.   https://t.co/TLxqsGHAaF",[],https://twitter.com/FiserStanko/status/1509261985464172549
PGCHealth,3/30/2022 22:10,"The FDA and CDC have authorized second booster doses of Pfizer or Moderna for everyone aged 50 and up, and for those 12 and older who have weakened immune systems.  For the full @CDCgov booster guidance and vaccine clinic locations:  https://t.co/AxVqVlXY4l  https://t.co/RtI598SwiF",[],https://twitter.com/PGCHealth/status/1509261927888965634
starsandstripes,3/30/2022 22:10,"President Joe Biden called on Congress to pass billions of dollars in additional funding to fight the COVID-19 pandemic on Wednesday, as he received a second booster dose of the Pfizer vaccine.   https://t.co/H490i1dyRp",[],https://twitter.com/starsandstripes/status/1509261681364385792
ArtysHouse,3/30/2022 22:09,"@civilisaation @Jonas73367664 @Will4humanity @seancondev No. In the first 3 months after the vaccine was being used worldwide, Pfizer received 42K adverse events to their database.  During this time more than 70 million doses had been administered",[],https://twitter.com/ArtysHouse/status/1509261622086606850
AbigailGaetz,3/30/2022 22:06,"Why would main Stream news report this when MOST OF THEIR ADVERTISERS ARE BIG PHARMA?🤔Pfizer Vaccines' 8 PAGES of Side Effects, 'I’ve never seen anything like it. I can’t even get my head around this' - Dr. Rich Swier  https://t.co/YOzHRhLKtj",[],https://twitter.com/AbigailGaetz/status/1509260687033393152
JoseJosarjc,3/30/2022 22:05,@DocAmine_ Je ne connais personne non vacciné décédés du Covid Mais je connais un client vacciner deuxième dose Pfizer décédé 35 ans.,[],https://twitter.com/JoseJosarjc/status/1509260589704486913
AsianObvious,3/30/2022 22:05,@KTLA We’re now going into year 3 or this pandemic. This vaccine doesn’t work. It doesn’t stop you from getting covid or spreading it. All it does is increase your chances of getting an adverse reaction like myocarditis or blood clots. The Pfizer docs had 8 pages of known side effects!,[],https://twitter.com/AsianObvious/status/1509260532729085952
shartstorm8d8,3/30/2022 22:04,@JamesMelville @JohnnyVedmore Persistent Cardiac MRI Findings in a Cohort of Adolescents with post COVID-19 mRNA vaccine myopericarditis #Pfizer #BioNtech   https://t.co/pCvNzeOP2y,"['pfizer', 'biontech']",https://twitter.com/shartstorm8d8/status/1509260394593927173
AmeliaBee7,3/30/2022 22:03,How much support for flood victims does 13.8 billion buy? How many Pfizer vaccines or RAT tests does that much $ get?  https://t.co/IsbLqpGY4D,[],https://twitter.com/AmeliaBee7/status/1509260098916745216
pharm2market,3/30/2022 22:01,"Pfizer, Moderna win over FDA for second round of COVID-19 boosters in older adults - More like this  https://t.co/pYJ3YXY9a7 | @Pfizer @BioNTech@Moderna_Tx #Covid19 #Vaccine #Booster #EUA #mRNA #Pharma  https://t.co/rJsvyQZM5D","['covid19', 'vaccine', 'booster', 'eua', 'mrna', 'pharma']",https://twitter.com/pharm2market/status/1509259663392616453
DanvilleSanRamo,3/30/2022 22:01,The Food and Drug Administration has authorized a second booster dose of the Pfizer-BioNTech and Moderna COVID-19 vaccines for people ages 50 and older and some immunocompromised people.  https://t.co/JxpargAqoX,[],https://twitter.com/DanvilleSanRamo/status/1509259663325474833
aspenbio,3/30/2022 22:01,"Pfizer, Moderna win over FDA for second round of COVID-19 boosters in older adults - More like this  https://t.co/Ch0OzV8Nyh | @Pfizer @BioNTech@Moderna_Tx #Covid19 #Vaccine #Booster #EUA #mRNA #Pharma  https://t.co/VIwTDQROte","['covid19', 'vaccine', 'booster', 'eua', 'mrna', 'pharma']",https://twitter.com/aspenbio/status/1509259662734020615
Coborns,3/30/2022 22:01,Pediatric Pfizer COVID-19 #vaccinations are now available for children ages 5 and up at #Coborns Pharmacy along with regular vaccines and boosters by appointment. Don’t delay and schedule your family today. We look forward to seeing you!   👉🏽  https://t.co/2tHBACCZyf  https://t.co/hsOPLA6pzC,"['vaccinations', 'coborns']",https://twitter.com/Coborns/status/1509259422580756481
HCHC2020,3/30/2022 22:00,The FDA and CDC endorsed a second booster shot of the Pfizer or Moderna vaccines for those over 50. It also applies to younger people with weakened immune systems. Learn to see when you are eligible for the second booster at the link below   https://t.co/DYNVCjd8yh  https://t.co/8dVegwCFxi,[],https://twitter.com/HCHC2020/status/1509259249855217682
LADeptHealth,3/30/2022 22:00,"Following the FDA’s authorization, people 50 years old and above and people 12 years old and above with moderate or severe immunosuppression are now eligible for a second booster dose of the Pfizer-BioNTech and Moderna vaccines.   READ MORE:  https://t.co/skvinLdfaq  https://t.co/r9Mx43UDLL",[],https://twitter.com/LADeptHealth/status/1509259204665782276
Kidsdoc1Rick,3/30/2022 22:00,@kyle_minogue @DaleHar71171277 Hmmmm. Many many parents were looking to vaccinate their 6-24 mos olds with Pfizer. I don’t buy this argument that it would increase vaccine hesitancy. Hesitaters are goin’ to hesitate.,[],https://twitter.com/Kidsdoc1Rick/status/1509259204200177666
ETFMG,3/30/2022 22:00,Do you need another #Covid19 vaccine shot?  @CDCgov recommends fourth @pfizer and @moderna_tx shot for people over 50 years. $GERM  https://t.co/OujozZOhBP,['covid19'],https://twitter.com/ETFMG/status/1509259202954412038
RobinR22779846,3/30/2022 22:00,@CanDoChiChi Mix &amp; match! Pfizer for vaccine &amp; Moderna for 1st booster,[],https://twitter.com/RobinR22779846/status/1509259186101645312
WebMD,3/30/2022 22:00,"If you got the Johnson &amp; Johnson vaccine, you should consider getting a booster dose of the Pfizer or Moderna vaccine -- or maybe even two boosters for the best protection -- CDC data suggests.  https://t.co/hZzi2LrxO3  https://t.co/Pjkg9Kd6Aj",[],https://twitter.com/WebMD/status/1509259172478652416
KSHB41,3/30/2022 21:59,KDHE has authorized COVID-19 vaccine providers across the state to give a second dose or booster of the Moderna or Pfizer vaccine to certain groups who initially received Johnson &amp; Johnson.   https://t.co/4TVJuUFfTo,[],https://twitter.com/KSHB41/status/1509259070766727174
JaniceKayePhD,3/30/2022 21:59,"Two Pfizer vaccine doses are 65.5% effective against symptomatic Omicron after 25 wks. The booster offers 67.2% protection after 2-4 wks, but wanes and you need a fourth dose (I think it's about 3 mo. after the third, but that's not cited here).",[],https://twitter.com/JaniceKayePhD/status/1509259063300874245
TBBusiness,3/30/2022 21:58,Today’s action applies only to the Pfizer-BioNTech and Moderna COVID-19 vaccines and the authorization of a single booster dose for other age groups with these vaccines remains unchanged.  https://t.co/GZf9iuAQGg  https://t.co/oAQqbWQEaw,[],https://twitter.com/TBBusiness/status/1509258907935461387
GuileRise,3/30/2022 21:58,"@Europe1 Pfizer est client de  https://t.co/d44V05oG6t fait tout pour qu on est là plus grosse utilisation possible du vaccin (rejet de toute les solutions alternatives, vaccination des enfants, mensonge sur la non contagiosité des vaccinés). Le conflit d intérêt creve les yeux",[],https://twitter.com/GuileRise/status/1509258873479258115
MS_OBRIEN_MAFIA,3/30/2022 21:58,@mbhattacharya46 @POTUS Ask him where our @Novavax covid vaccine is &amp; why @fda &amp; Pfizer are blocking it in US &amp; distributing only to foreign countries?,[],https://twitter.com/MS_OBRIEN_MAFIA/status/1509258827346190342
lostchyld1,3/30/2022 21:57,"@OneSickVet I did, but I think the primary series sensitized me to vaccines because even the flu shot kicked my ass in a way that it has not done historically. I had 2 Pfizer to start and Moderna booster. I don’t have an immediate reaction but it takes 6 weeks for the lymph nodes to settle",[],https://twitter.com/lostchyld1/status/1509258593215954957
Voice_00_Reason,3/30/2022 21:55,Increasing reports of kids as young as 10 yrs old dying to heart attacks after #Pfizer #Covid vaccines!   Won't be surprised if governments and insurance cos. turn around and tell people it was their choice to get those shots.  Money over humanity..,"['pfizer', 'covid']",https://twitter.com/Voice_00_Reason/status/1509258149231939584
dazzatron,3/30/2022 21:55,"@RRTong1 @Mikhail38757727 How is that related to the Pfizer mRNA vaccine? All of those vaccines followed standard clinical trial pathways. The Pfizer one did not, in fact it is still actually in Phase 3 clinical trials.",[],https://twitter.com/dazzatron/status/1509258027173486593
libreaper69,3/30/2022 21:53,@Breaking911 Why did you buy so much Pfizer blindly without the data? How about @Novavax? Insurance can start paying for vaccine- this is a non issue other than the Billions of money you waste on a daily basis,[],https://twitter.com/libreaper69/status/1509257536045785099
RayMaloney7,3/30/2022 21:53,@LFN ESPN announcing viewership is at record levels is like Pfizer and Moderna claiming its vaccines are effective. They are all pushing for profits.,[],https://twitter.com/RayMaloney7/status/1509257531708821507
painj,3/30/2022 21:52,"@SamIam1040 @Te_Taipo @LexRegina72 @Redstar309Z @SpeakerTrevor @DylanReeve @davidfarrier @DCANZ2 @byroncclark @_xhmko_ @whaeadeb @toby_etc @NZPoliceMedia @nzpolice @GlennJeffrey8 @NZStuff Thousands of severe injuries from the Pfizer vaccine in NZ? I guess that's the 600-odd Myocarditis reactions, including four or so tragic deaths, out of the 11 million doses administered? Always pays to pump up the numbers when your gullible followers don't check the stats.",[],https://twitter.com/painj/status/1509257286384259072
KESQ,3/30/2022 21:51,President Biden called on Congress to pass billions of dollars in additional funding to fight the COVID-19 pandemic as he received a second booster dose of the Pfizer vaccine a day after federal regulators approved a fourth shot for those aged 50+  https://t.co/fz5nf02VXY,[],https://twitter.com/KESQ/status/1509257114115526657
SENOROC69,3/30/2022 21:51,"@mauriceIarm2022 Mes parents ,trés agés, 3 fois NON VACCINÉS et ils sont en PLEINE FORME , 0 COVID , JAMAIS  Infectés  et NON ils n'iront JAMAIS se faire Volontairement EMPOISONNER FUCK PFIZER et Cie",[],https://twitter.com/SENOROC69/status/1509256978727636995
NFLX1,3/30/2022 21:51,"USA news live updates: Putin misinformed by Russian military, feels White House 23:45 (IST) Mar 30President Joe Biden has received a second booster dose of the Pfizer Covid vaccine... Trending: #NationalDoctorsDay #AsItWas   https://t.co/71FmUyfgYi #Ukraine","['nationaldoctorsday', 'asitwas', 'ukraine']",https://twitter.com/NFLX1/status/1509256976379039745
BrianJohnsonRT1,3/30/2022 21:49,@dean_a_1984 I know a 21-year old guy in great physical condition who developed myocarditis after receiving the second dose of the Pfizer vaccine.,[],https://twitter.com/BrianJohnsonRT1/status/1509256523012321286
sthebeworldwide,3/30/2022 21:49,@Buhles__ but Pfizer vaccine has better than this 🤷,[],https://twitter.com/sthebeworldwide/status/1509256464203927553
MomNovavax,3/30/2022 21:48,"@POTUS April 27 POTUS: ""The problem is right now we have to make sure we have other vaccines like Novavax and others coming on, probably,"" 170+ countries have this choice, (paid for with $1.8B US $ I might add) For US, Land of the Free? Pfizer.",[],https://twitter.com/MomNovavax/status/1509256368817119239
LafColCovid,3/30/2022 21:48,"In advance of the next annual meeting in 2022, Pfizer shareholders are being asked to vote that the company commission and provide to shareholders a report on the global  costs of failing to share its vaccine formula. #Pfizer #BioNTech #cominarty","['pfizer', 'biontech', 'cominarty']",https://twitter.com/LafColCovid/status/1509256216773541893
sawanswers,3/30/2022 21:47,"USA news live updates: Putin misinformed by Russian military, feels White House23:45 (IST) Mar 30President Joe Biden has received a second booster dose of the Pfizer Covid vaccine... Trending: #NationalDoctorsDay #AsItWas    https://t.co/vK3DlwtMjX","['nationaldoctorsday', 'asitwas']",https://twitter.com/sawanswers/status/1509255931854565379
drb00t,3/30/2022 21:46,"@LadyB01427871 @crypto11011 @GoshDarnIt15 @LaBiondaItalia congrats...you just sent me a list of how nurses and doctors once in a blue moon gave the vaccine to someone too young or injected the wrong site.  what do you think this proves?  of course Pfizer keeps track of this info.  btw a bruised arm is considered ""harm"" in this study.",[],https://twitter.com/drb00t/status/1509255859347636232
Srikaantck,3/30/2022 21:45,"FDA Approved 2nd Covid-19 Booster💉😍  Who are eligible for 4th Shot?👴🏻👵  BA.2 Dominant in the USA, reason for 4th Shot?  CDC Suggest ""mRNA shot now"" for those who got the J&amp;J vaccine.   https://t.co/GJXKUiwlm2 #Pfizer  #Moderna","['pfizer', 'moderna']",https://twitter.com/Srikaantck/status/1509255487745052672
jannyfayray,3/30/2022 21:45,@AgnesClaire Remember in Nov/Dec. of 2021 when Pfizer said they would have a vaccine for Omicron in 90 - 100 days? What happened to that? 🥴,[],https://twitter.com/jannyfayray/status/1509255441200476164
MichaelAaron64,3/30/2022 21:43,Got my 2nd Pfizer booster (# 4) this morning as the vaccine availability was just announced yesterday. I still wear a mask indoors. I would be grateful to know if even in a small way I can be an example to others. Thank you. 💉💉💉 💉,[],https://twitter.com/MichaelAaron64/status/1509255129857409031
lifesciences_bc,3/30/2022 21:43,#LSBCmember NEWS: Pfizer and BioNTech Receive Expanded U.S. Emergency Use Authorization for an Additional COVID-19 Vaccine Booster in Individuals Aged 50 Years and Older  https://t.co/Ojr6JIUvDJ #lifesciences #bcbiotech,"['lsbcmember', 'lifesciences', 'bcbiotech']",https://twitter.com/lifesciences_bc/status/1509254929348800518
MomNovavax,3/30/2022 21:42,"@edokeefe Another Pfizer commercial. April 27 POTUS: ""The problem is right now we have to make sure we have other vaccines like Novavax and others coming on, probably,"" 170+ countries have this choice, (paid for with $1.8B US $ I might add) For US, Land of the Free? Pfizer.",[],https://twitter.com/MomNovavax/status/1509254756283424770
MoPatriot_Shane,3/30/2022 21:41,"Maybe they wouldn't offer the ""vaccine"" free if it actually worked like it's supposed to. No thank you @pfizer",[],https://twitter.com/MoPatriot_Shane/status/1509254578998497284
13WREX,3/30/2022 21:41,"NEW: President Joe Biden has gotten a second booster dose of the Pfizer COVID vaccine, and he used the occasion Wednesday to call on Congress to pass billions of dollars in additional funding to fight the pandemic.    https://t.co/w9uY1cGARs",[],https://twitter.com/13WREX/status/1509254465316032516
NotRight510710,3/30/2022 21:41,@UGymbo @dave35547237 @jpg1962 @CovidLarry @BreezerGalway @melldells1 @KevinPe00158553 @CaseyG2979 @lazlowoodbine42 @NoLibbyHere @LaymansScience @SwaledaleMutton @EminentDomain16 @Nickowenn1 @orion_darth @bluraggamuffin None of my vaccine doses came from Pfizer 🤦,[],https://twitter.com/NotRight510710/status/1509254391949373450
